Service,Feature,Status
AWS Migration Hub Refactor Spaces,Applications,"Available in source_region, Not Available in target_region"
Amazon Rekognition,Transactions per second per account for the Amazon Rekognition Custom Labels operation: UpdateDatasetEntries,"Available in source_region, Not Available in target_region"
AWS Resilience Hub,Number of resources per application,"Available in source_region, Not Available in target_region"
AWS Resource Explorer,Non-aggregator Region search monthly quota,Available in both the region
AWS Resource Groups,Resource groups per account,"Available in source_region, Not Available in target_region"
IAM Roles Anywhere,Rate of CreateSession requests,"Available in source_region, Not Available in target_region"
Route 53 Resolver,Resolver rules per AWS Region,Available in both the region
Amazon SageMaker,Studio CodeEditor Apps running on ml.r6id.large instances,"Available in source_region, Not Available in target_region"
Amazon EventBridge Schema Registry,DiscoveredSchemas,"Available in source_region, Not Available in target_region"
AWS Security Hub,Number of automation rules,Available in both the region
AWS Service Catalog,Products per portfolio,"Available in source_region, Not Available in target_region"
Service Quotas,Active requests per account per Region,"Available in source_region, Not Available in target_region"
Amazon Simple Email Service(Amazon SES),Sending quota,"Available in source_region, Not Available in target_region"
Amazon Simple Notification Service (Amazon SNS),ConfirmSubscription Transactions per Second,"Available in source_region, Not Available in target_region"
AWS Systems Manager for SAP,Databases per component,"Available in source_region, Not Available in target_region"
Amazon Textract,GetLendingAnalysis throttle limit in transactions per second,"Available in source_region, Not Available in target_region"
Amazon Timestream for Managed Influx,Database instances per account,"Available in source_region, Not Available in target_region"
Amazon Verified Permissions,GetPolicyStore requests per second per Region per account,Available in both the region
Amazon Virtual Private Cloud (Amazon VPC),Internet gateways per Region,"Available in source_region, Not Available in target_region"
AWS Well-Architected Tool,Shares per review template,"Available in source_region, Not Available in target_region"
Amazon WorkSpaces,Directories,"Available in source_region, Not Available in target_region"
Amazon WorkSpaces Web,Number of UserSettings,"Available in source_region, Not Available in target_region"
